district,mandal,revenue_division
"Dr. B.R. Ambedkar Konaseema district","Mandapeta mandal","Razole revenue division"
"Dr. B.R. Ambedkar Konaseema district","Mummidivaram mandal","Razole revenue division"
"Dr. B.R. Ambedkar Konaseema district","P.Gannavaram mandal","Razole revenue division"
"Dr. B.R. Ambedkar Konaseema district","Razole mandal","Razole revenue division"
"Dr. B.R. Ambedkar Konaseema district","Sakhinetipalle mandal","Razole revenue division"
"Dr. B.R. Ambedkar Konaseema district","Uppalaguptam mandal","Razole revenue division"
"East Godavari district","Addateegala mandal","Rampachodavaram revenue division"
"East Godavari district","Ainavilli mandal","Amalapuram revenue division"
"East Godavari district","Alamuru mandal","Ramachandrapuram revenue division"
"East Godavari district","Ambajipeta mandal","Amalapuram revenue division"
"East Godavari district","Anaparthy mandal","Rajahmundry revenue division"
"East Godavari district","Atreyapuram mandal","Amalapuram revenue division"
"East Godavari district","Biccavolu mandal","Ramachandrapuram revenue division"
"East Godavari district","Devipatnam mandal","Rampachodavaram revenue division"
"East Godavari district","Gandepalle mandal","Rampachodavaram revenue division"
"East Godavari district","Gangavaram mandal","Rampachodavaram revenue division"
"East Godavari district","Gokavaram mandal","Rajahmundry revenue division"
"East Godavari district","Jaggampeta mandal","Rajahmundry revenue division"
"East Godavari district","Kadiam mandal","Rajahmundry revenue division"
"East Godavari district","Kapileswarapuram mandal","Ramachandrapuram revenue division"
"East Godavari district","Korukonda mandal","Rajahmundry revenue division"
"East Godavari district","Kothapalle mandal","Rajahmundry revenue division"
"East Godavari district","Kovvur mandal","Rajahmundry revenue division"
"East Godavari district","Mandapeta mandal","Ramachandrapuram revenue division"
"East Godavari district","Maredumilli mandal","Rampachodavaram revenue division"
"East Godavari district","Mummidivaram mandal","Amalapuram revenue division"
"East Godavari district","Nallajerla mandal","Rajahmundry revenue division"
"East Godavari district","P.Gannavaram mandal","Rajahmundry revenue division"
"East Godavari district","Pithapuram mandal","Ramachandrapuram revenue division"
"East Godavari district","Prathipadu mandal","Rajahmundry revenue division"
"East Godavari district","Rajanagaram mandal","Rajahmundry revenue division"
"East Godavari district","Rampachodavaram mandal","Rampachodavaram revenue division"
"East Godavari district","Rangampeta mandal","Rajahmundry revenue division"
"East Godavari district","Ravulapalem mandal","Ramachandrapuram revenue division"
"East Godavari district","Razole mandal","Ramachandrapuram revenue division"
"East Godavari district","Sakhinetipalle mandal","Ramachandrapuram revenue division"
"East Godavari district","Samalkota mandal","Ramachandrapuram revenue division"
"East Godavari district","Seethanagaram mandal","Rajahmundry revenue division"
"East Godavari district","Thallarevu mandal","Ramachandrapuram revenue division"
"East Godavari district","Thondangi mandal","Ramachandrapuram revenue division"
"East Godavari district","Tuni mandal","Ramachandrapuram revenue division"
"East Godavari district","Uppalaguptam mandal","Ramachandrapuram revenue division"
"East Godavari district","Yeleswaram mandal","Rajahmundry revenue division"
"Eluru district","Achanta mandal","Narsapuram revenue division"
"Eluru district","Akividu mandal","Narsapuram revenue division"
"Eluru district","Attili mandal","Eluru revenue division"
"Eluru district","Bhimavaram mandal","Narsapuram revenue division"
"Eluru district","Buttayagudem mandal","Polavaram revenue division"
"Eluru district","Chintalapudi mandal","Polavaram revenue division"
"Eluru district","Devarapalle mandal","Eluru revenue division"
"Eluru district","Dwaraka Tirumala mandal","Polavaram revenue division"
"Eluru district","Eluru mandal","Eluru revenue division"
"Eluru district","Gopalapuram mandal","Polavaram revenue division"
"Eluru district","Iragavaram mandal","Eluru revenue division"
"Eluru district","Jangareddigudem mandal","Polavaram revenue division"
"Eluru district","Kamavarapukota mandal","Polavaram revenue division"
"Eluru district","Koyyalagudem mandal","Polavaram revenue division"
"Eluru district","Kovvur mandal","Eluru revenue division"
"Eluru district","Lingapalem mandal","Polavaram revenue division"
"Eluru district","Mogalthur mandal","Narsapuram revenue division"
"Eluru district","Nallajerla mandal","Eluru revenue division"
"Eluru district","Narsapuram mandal","Narsapuram revenue division"
"Eluru district","Nidadavole mandal","Eluru revenue division"
"Eluru district","Palacoderu mandal","Polavaram revenue division"
"Eluru district","Pentapadu mandal","Eluru revenue division"
"Eluru district","Peravali mandal","Eluru revenue division"
"Eluru district","Polavaram mandal","Polavaram revenue division"
"Eluru district","T.Narasapuram mandal","Narsapuram revenue division"
"Eluru district","Tadepalligudem mandal","Eluru revenue division"
"Eluru district","Tanuku mandal","Narsapuram revenue division"
"Eluru district","Undi mandal","Narsapuram revenue division"
"Eluru district","Undrajavaram mandal","Eluru revenue division"
"Eluru district","Veeravasaram mandal","Narsapuram revenue division"
"Eluru district","Vijayarai mandal","Eluru revenue division"
"Eluru district","Viravalli mandal","Eluru revenue division"
"Guntur district","Amaravathi mandal","Guntur revenue division"
"Guntur district","Bapatla mandal","Bapatla revenue division"
"Guntur district","Bhattiprolu mandal","Guntur revenue division"
"Guntur district","Chebrole mandal","Guntur revenue division"
"Guntur district","Cherukupalle mandal","Repalle revenue division"
"Guntur district","Dachepalle mandal","Guntur revenue division"
"Guntur district","Duggirala mandal","Tenali revenue division"
"Guntur district","Guntur mandal","Guntur revenue division"
"Guntur district","Karlapalem mandal","Bapatla revenue division"
"Guntur district","Kollipara mandal","Tenali revenue division"
"Guntur district","Kolluru mandal","Repalle revenue division"
"Guntur district","Krosuru mandal","Guntur revenue division"
"Guntur district","Machavaram mandal","Guntur revenue division"
"Guntur district","Macherla mandal","Guntur revenue division"
